Linux 4.15.0-96-generic (team25-hw6) 	04/26/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:33    64055     27237   10.00   80.00  100.00    0.00    5.45    15   4199.00      0.00 13684444 8436168   4.29      0.00 504468.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:34    64055     27237   11.00   89.00  100.00    0.00    5.59    15   4757.00      0.00 13684444 8436168   4.29      0.00 595056.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:35    64055     27237   21.00   69.00  100.00    0.00    5.49    15    361.00      0.00 13684444 8436168   4.29      0.00 625404.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:36    64055     27237   14.00   71.00  100.00    0.00    5.23    15    197.00      0.00 13684444 8436168   4.29      0.00 590564.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:37    64055     27237   15.00   71.00  100.00    0.00    5.40    15    560.00      0.00 13684444 8436168   4.29      0.00 635296.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:38    64055     27237   20.00   74.00  100.00    0.00    5.40    15    871.00      0.00 13684444 8436168   4.29      0.00 553340.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:39    64055     27237   15.00   81.00  100.00    0.00    5.77    15   3591.00      0.00 13684444 8436168   4.29      0.00 571904.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:45:40    64055     27237   14.00   78.00  100.00    0.00    5.74    15   3877.00      0.00 13684444 8436168   4.29      0.00 573952.00      0.00       0  qemu-system-x86

