numThreads, recordSize(B), throughput(MB/s)
1, 65536, 9.40945
1, 1048576, 63.5034
1, 16777216, 106.267
2, 65536, 9.67241
2, 1048576, 60.2914
2, 16777216, 94.2418
4, 65536, 11.2434
4, 1048576, 60.5807
4, 16777216, 93.6803
8, 65536, 13.339
8, 1048576, 61.6637
8, 16777216, 90.0366
12, 65536, 13.8686
12, 1048576, 61.8108
12, 16777216, 86.1082
24, 65536, 16.2132
24, 1048576, 60.2083
24, 16777216, 84.6067
48, 65536, 18.2415
48, 1048576, 61.7467
48, 16777216, 85.5923
