numThreads, recordSize(B), throughput(MB/s)
1, 65536, 100.315
1, 1048576, 121.89
1, 16777216, 193.431
2, 65536, 92.7807
2, 1048576, 129.769
2, 16777216, 181.904
4, 65536, 95.0588
4, 1048576, 129.948
4, 16777216, 187.361
8, 65536, 87.9013
8, 1048576, 122.463
8, 16777216, 176.91
12, 65536, 80.0352
12, 1048576, 129.519
12, 16777216, 170.08
24, 65536, 74.2964
24, 1048576, 128.342
24, 16777216, 157.649
48, 65536, 75.0221
48, 1048576, 126.677
48, 16777216, 162.858
