numThreads, recordSize(B), throughput(MB/s)
1, 65536, 9.31413
1, 1048576, 62.8915
1, 16777216, 103.88
2, 65536, 9.4884
2, 1048576, 59.159
2, 16777216, 92.5789
4, 65536, 11.0959
4, 1048576, 60.976
4, 16777216, 91.851
8, 65536, 13.2859
8, 1048576, 61.6196
8, 16777216, 88.9506
12, 65536, 13.7571
12, 1048576, 61.8984
12, 16777216, 84.2893
24, 65536, 16.2709
24, 1048576, 62.0968
24, 16777216, 85.9483
48, 65536, 18.5466
48, 1048576, 62.3212
48, 16777216, 85.1252
