numThreads, recordSize(B), throughput(MB/s)
1, 65536, 101.194
1, 1048576, 125.587
1, 16777216, 198.287
2, 65536, 95.1973
2, 1048576, 131.69
2, 16777216, 186.539
4, 65536, 98.2965
4, 1048576, 130.96
4, 16777216, 193.416
8, 65536, 89.4903
8, 1048576, 126.451
8, 16777216, 182.939
12, 65536, 81.5847
12, 1048576, 130.76
12, 16777216, 175.781
24, 65536, 73.7534
24, 1048576, 132.804
24, 16777216, 166.29
48, 65536, 75.1106
48, 1048576, 128.075
48, 16777216, 167.673
