numThreads, recordSize(B), throughput(MB/s)
1, 65536, 9.48019
1, 1048576, 63.9194
1, 16777216, 106.127
2, 65536, 9.63326
2, 1048576, 61.1232
2, 16777216, 92.7515
4, 65536, 11.3149
4, 1048576, 62.1184
4, 16777216, 95.4317
8, 65536, 13.751
8, 1048576, 63.5034
8, 16777216, 91.5407
12, 65536, 14.1819
12, 1048576, 63.5146
12, 16777216, 86.7273
24, 65536, 16.6907
24, 1048576, 61.9529
24, 16777216, 86.74
48, 65536, 18.0962
48, 1048576, 62.7038
48, 16777216, 87.0671
