Linux 4.15.0-96-generic (team25-hw6) 	04/24/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:02    64055      4870   22.00   86.00  100.00    0.00    5.41    27    505.00      0.00 59570432 33594232  17.09     20.00 452100.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:03    64055      4870    0.00   20.00   13.00    0.00    0.67    27     24.00      0.00 59570432 33594232  17.09      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:04    64055      4870   14.00   73.00  100.00    0.00    4.64     3     23.00      0.00 59570432 33594232  17.09     24.00 382464.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:05    64055      4870   18.00   82.00  100.00    1.00    5.35     3    703.00      0.00 59570432 33594232  17.09      0.00 455628.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:06    64055      4870   16.00   83.00  100.00    0.00    5.39     3    659.00      0.00 59570432 33594232  17.09      0.00 462544.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:07    64055      4870   25.00   90.00  100.00    0.00    5.67     3   2388.00      0.00 59570432 33594232  17.09      0.00 470012.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:08    64055      4870   22.00   86.00  100.00    0.00    6.25     3   1063.00      0.00 59570432 33594232  17.09      0.00 546308.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:09    64055      4870   21.00   75.00  100.00    0.00    5.35     3    624.00      0.00 59570432 33594232  17.09      4.00 434380.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:10    64055      4870   24.00   76.00  100.00    0.00    5.39     7    814.00      0.00 59570432 33594232  17.09      4.00 460088.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:11    64055      4870   15.00   81.00  100.00    0.00    5.92     7     45.00      0.00 59570432 33594232  17.09      0.00 518656.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:12    64055      4870   25.00   67.00  100.00    0.00    4.79    11    396.00      0.00 59570432 33594232  17.09     52.00 390292.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:13    64055      4870   22.00   89.00  100.00    1.00    6.09    11    842.00      0.00 59570432 33594232  17.09      0.00 541696.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:14    64055      4870   27.00  100.00  100.00    0.00    5.86    11    353.00      0.00 59570432 33594232  17.09      0.00 455960.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:15    64055      4870   21.00   89.00  100.00    0.00    5.68    11   1619.00      0.00 59570432 33594232  17.09      0.00 462032.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:16    64055      4870   25.00  100.00  100.00    0.00    6.57    11   3697.00      0.00 59570432 33594232  17.09      0.00 507932.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:17    64055      4870   27.00   89.00  100.00    0.00    5.74    11   3293.00      0.00 59570432 33594232  17.09      0.00 463284.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:18    64055      4870   19.00   86.00  100.00    0.00    5.10    11   2054.00      0.00 59570432 33594232  17.09      8.00 405144.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:19    64055      4870   14.00   95.00  100.00    0.00    6.26    11   1801.00      0.00 59570432 33594232  17.09      0.00 556528.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:20    64055      4870   21.00   93.00  100.00    0.00    5.72    17   1186.00      0.00 59570432 33594232  17.09      0.00 466684.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:21    64055      4870   10.00   67.00   95.00    1.00    3.60    23    786.00      0.00 59570432 33594232  17.09      4.00 263080.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:22    64055      4870   11.00   45.00   76.00    0.00    2.76    23    609.00      0.00 59570432 33594232  17.09      0.00 221540.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:23    64055      4870   16.00   79.00  100.00    0.00    5.37    23     73.00      0.00 59627804 33594232  17.09      0.00 476384.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:24    64055      4870   16.00   77.00  100.00    0.00    5.45    23     25.00      0.00 59627804 33594232  17.09      0.00 483716.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:25    64055      4870   15.00   91.00  100.00    0.00    5.07    10     44.00      0.00 59627804 33594232  17.09      4.00 397048.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:26    64055      4870    8.00   93.00  100.00    0.00    4.81    10     10.00      0.00 59627804 33594232  17.09     48.00 344692.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:27    64055      4870    8.00   95.00  100.00    0.00    4.84    10    250.00      0.00 59627804 33594232  17.09      8.00 356524.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:28    64055      4870   22.00  100.00  100.00    0.00    5.27    10   1326.00      0.00 59627804 33594232  17.09      0.00 407296.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:29    64055      4870   17.00   92.00  100.00    0.00    5.51    10   1443.00      0.00 59627804 33594232  17.09      0.00 410228.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:30    64055      4870   18.00   97.00  100.00    0.00    5.59    19    493.00      0.00 59627804 33594232  17.09      0.00 444928.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:31    64055      4870   18.00   83.00  100.00    0.00    5.31    20   1072.00      0.00 59627804 33594232  17.09      0.00 433076.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:32    64055      4870   16.00   86.00  100.00    0.00    5.74    20     28.00      0.00 59627804 33594232  17.09      0.00 475040.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:33    64055      4870   19.00   93.00  100.00    0.00    5.58    22     37.00      0.00 59627804 33594232  17.09      4.00 465276.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:34    64055      4870   16.00   82.00  100.00    0.00    5.18    10   5203.00      0.00 59627804 33594232  17.09     52.00 401332.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:35    64055      4870   19.00   81.00  100.00    1.00    6.45    10    565.00      0.00 59627804 33594232  17.09      0.00 610524.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:36    64055      4870   20.00  100.00  100.00    0.00    5.89    10    585.00      0.00 59627804 33594232  17.09      0.00 487724.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:37    64055      4870   25.00   86.00  100.00    0.00    5.67    10   1144.00      0.00 59627804 33594232  17.09      0.00 468488.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:38    64055      4870   20.00   65.00  100.00    0.00    6.01    14    741.00      0.00 59627804 33594232  17.09      0.00 571900.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:39    64055      4870   19.00   86.00  100.00    0.00    6.17    38    958.00      0.00 59627804 33594232  17.09      4.00 601088.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:40    64055      4870   20.00   76.00  100.00    0.00    5.96    42    271.00      0.00 59627804 33594232  17.09      0.00 540344.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:45:41    64055      4870   20.00   92.00  100.00    0.00    5.88    27    580.00      0.00 59627804 33594232  17.09      4.00 480712.00      0.00       0  qemu-system-x86

