numThreads, recordSize(B), throughput(MB/s)
1, 65536, 69.8061
1, 1048576, 96.8167
1, 16777216, 134.329
2, 65536, 98.3236
2, 1048576, 118.627
2, 16777216, 194.295
4, 65536, 100.099
4, 1048576, 122.563
4, 16777216, 194.734
8, 65536, 86.1341
8, 1048576, 123.238
8, 16777216, 173.641
12, 65536, 80.0122
12, 1048576, 126.006
12, 16777216, 168.427
24, 65536, 74.6581
24, 1048576, 127.036
24, 16777216, 165.667
48, 65536, 75.2423
48, 1048576, 125.299
48, 16777216, 165.467
